price_usd,change_pct,barrier_breached,cl_loss_usdc,payout_usdc,lp_net_pnl_usd,rt_pnl_usd
87.1906,10.00,false,0.000000,0.000000,-0.088364,0.096471
83.2274,5.00,false,0.000000,0.000000,-0.088364,0.096471
80.8495,2.00,false,0.000000,0.000000,-0.088368,0.096471
80.0568,1.00,false,0.000000,0.000000,-0.090481,0.096471
79.2642,0.00,false,0.000000,0.000000,-0.096471,0.096471
78.4715,-1.00,false,0.009927,0.009927,-0.096472,0.086544
77.6789,-2.00,false,0.023851,0.023851,-0.096471,0.072620
76.8863,-3.00,false,0.039754,0.039754,-0.096472,0.056717
76.0936,-4.00,false,0.055657,0.055657,-0.096472,0.040814
75.3010,-5.00,true,0.071473,0.071473,-0.096559,0.024998
74.5083,-6.00,true,0.071473,0.071473,-0.112463,0.024998
73.7157,-7.00,true,0.071473,0.071473,-0.128366,0.024998
72.9231,-8.00,true,0.071473,0.071473,-0.144270,0.024998
71.3378,-10.00,true,0.071473,0.071473,-0.176076,0.024998
67.3746,-15.00,true,0.071473,0.071473,-0.255593,0.024998
