venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260416-89-P,SOL,USD,put,89.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,3.2,0.0,0.0,0.59226,0.0,0.0,2026-04-14T09:13:30.512000+00:00,2026-04-14T09:13:00.836635+00:00,,,2.799999999999997,,False
lyra,SOL-20260416-79-C,SOL,USD,call,79.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,7.2,0.0,0.0,0.6482,0.0,0.0,2026-04-14T09:13:30.334000+00:00,2026-04-14T09:13:00.836635+00:00,,,,7.200000000000003,False
lyra,SOL-20260416-81-C,SOL,USD,call,81.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,5.3,0.0,0.0,0.62534,0.0,0.0,2026-04-14T09:13:31.098000+00:00,2026-04-14T09:13:00.836635+00:00,,,,5.200000000000003,False
lyra,SOL-20260416-95-P,SOL,USD,put,95.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,8.7,0.0,0.0,0.65686,0.0,0.0,2026-04-14T09:13:31.344000+00:00,2026-04-14T09:13:00.836635+00:00,,,8.799999999999997,,True
lyra,SOL-20260416-81-P,SOL,USD,put,81.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,0.1,0.0,0.0,0.62534,0.0,0.0,2026-04-14T09:13:30.591000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260416-86-P,SOL,USD,put,86.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,1.3,0.0,0.0,0.57164,0.0,0.0,2026-04-14T09:13:30.997000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260416-76-C,SOL,USD,call,76.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,10.2,0.0,0.0,0.68223,0.0,0.0,2026-04-14T09:13:30.291000+00:00,2026-04-14T09:13:00.836635+00:00,,,,10.200000000000003,False
lyra,SOL-20260416-75-C,SOL,USD,call,75.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,11.2,0.0,0.0,0.6935,0.0,0.0,2026-04-14T09:13:30.691000+00:00,2026-04-14T09:13:00.836635+00:00,,,,11.200000000000003,False
lyra,SOL-20260416-89-C,SOL,USD,call,89.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,0.5,0.0,0.0,0.59226,0.0,0.0,2026-04-14T09:13:30.234000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
lyra,SOL-20260416-78-C,SOL,USD,call,78.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,8.2,0.0,0.0,0.65958,0.0,0.0,2026-04-14T09:13:30.333000+00:00,2026-04-14T09:13:00.836635+00:00,,,,8.200000000000003,False
lyra,SOL-20260416-87-P,SOL,USD,put,87.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,1.8,0.0,0.0,0.57198,0.0,0.0,2026-04-14T09:13:30.490000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.7999999999999972,,False
lyra,SOL-20260416-85-C,SOL,USD,call,85.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,2.1,0.0,0.0,0.5803,0.0,0.0,2026-04-14T09:13:30.636000+00:00,2026-04-14T09:13:00.836635+00:00,,,,1.2000000000000028,False
lyra,SOL-20260416-87-C,SOL,USD,call,87.0,2026-04-16T00:00:00+00:00,0.004427294627251395,86.2,1.0,0.0,0.0,0.57198,0.0,0.0,2026-04-14T09:13:31.142000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
