yield_split,lp_mean,rt_mean,joint_profitable,lp_median,rt_median,n_obs_lp,n_obs_rt
0.0,-0.013964116106539266,2.581979435974155e-06,False,-0.0021616159576707717,2.4477866412946402e-05,26000,26000
0.01,-0.014191823181961702,1.3386716175651093e-06,False,-0.002243232293719335,2.3829734072961053e-05,26000,26000
0.02,-0.014409231110580435,1.563469921874549e-06,False,-0.0024068633011556737,2.3960445152080088e-05,26000,26000
0.03,-0.014433538131134856,2.2272948433393086e-06,False,-0.002381886393449541,2.4701135514352015e-05,26000,26000
0.04,-0.014124015984838877,2.438368039555166e-06,False,-0.0022581169918088483,2.4481155732235164e-05,26000,26000
0.05,-0.014064901722678954,2.124503209524772e-06,False,-0.0021782168427727433,2.4158932053977186e-05,26000,26000
0.06,-0.014606497219911054,1.083815286027448e-06,False,-0.002150096043768851,2.4120275146724038e-05,26000,26000
0.07,-0.014081010931319339,2.31145427709409e-06,False,-0.002140236528934749,2.4508651929595536e-05,26000,26000
0.08,-0.01399941987949267,2.4218610388584746e-06,False,-0.002275277325311519,2.4584878889234726e-05,26000,26000
0.09,-0.013762613636608616,2.4115759392444478e-06,False,-0.002184627709157877,2.4555245660537036e-05,26000,26000
0.1,-0.01445710626297701,2.2721132260458335e-06,False,-0.0021484220803084457,2.4815215796385127e-05,26000,26000
0.11,-0.014353090560942718,1.428086915081151e-06,False,-0.002269712543600655,2.427050866384625e-05,26000,26000
0.12,-0.014456558695305485,1.6950339213230622e-06,False,-0.002201425257291099,2.4127828751930527e-05,26000,26000
0.13,-0.014226427737446513,1.8507696744164548e-06,False,-0.0022187872662747716,2.3991720985240536e-05,26000,26000
0.14,-0.014127021421317245,2.016945933239894e-06,False,-0.0023022843226626092,2.462737895389011e-05,26000,26000
0.15,-0.01386579402379789,2.228753686558827e-06,False,-0.0020521381864699595,2.4551583759033414e-05,26000,26000
0.16,-0.01432141138103764,2.4866694695951177e-06,False,-0.0021456442641429123,2.4662159586072285e-05,26000,26000
0.17,-0.013855185395864597,2.2537232775471314e-06,False,-0.002046218276273831,2.481662207257851e-05,26000,26000
0.18,-0.013965429713065554,2.427316597385983e-06,False,-0.0020604503254369943,2.456718469446382e-05,26000,26000
0.19,-0.014479829677845163,1.7785504598670193e-06,False,-0.0022847270215075976,2.4418082773515173e-05,26000,26000
0.2,-0.013710893718133908,2.48493111620996e-06,False,-0.0020375522256511026,2.4469617356494623e-05,26000,26000
