scenario,rep_level,strategy,mean_%,p5_%,breakeven_bps_week,rt_mean_%
low_fee_0.15pct_day,low,protocol_lp,-1.6937159026215898,-9.596084035021835,-169.37159026215897,0.0002715223890194
low_fee_0.15pct_day,low,perp_fixed_lp,-1.8759654913473514,-9.601883340097798,-187.5965491347351,
low_fee_0.15pct_day,low,perp_dynamic_lp,-1.9768133472178637,-7.0471938185029295,-197.68133472178636,
low_fee_0.15pct_day,low,plain_lp,-1.5790762835600807,-13.16387265139721,-157.90762835600808,
low_fee_0.15pct_day,medium,protocol_lp,-1.7588683925171256,-9.829721111226773,-175.88683925171256,0.0003787044918892
low_fee_0.15pct_day,medium,perp_fixed_lp,-1.8759654913473514,-9.601883340097798,-187.5965491347351,
low_fee_0.15pct_day,medium,perp_dynamic_lp,-1.9768133472178637,-7.0471938185029295,-197.68133472178636,
low_fee_0.15pct_day,medium,plain_lp,-1.5790762835600807,-13.16387265139721,-157.90762835600808,
low_fee_0.15pct_day,high,protocol_lp,-1.8584712658271267,-10.4483500361063,-185.84712658271266,5.905153501920583e-05
low_fee_0.15pct_day,high,perp_fixed_lp,-1.8759654913473514,-9.601883340097798,-187.5965491347351,
low_fee_0.15pct_day,high,perp_dynamic_lp,-1.9768133472178637,-7.0471938185029295,-197.68133472178636,
low_fee_0.15pct_day,high,plain_lp,-1.5790762835600807,-13.16387265139721,-157.90762835600808,
mid_fee_0.23pct_day,low,protocol_lp,-1.3903262569458843,-10.04843990075579,-139.03262569458843,0.0003486069808308
mid_fee_0.23pct_day,low,perp_fixed_lp,-1.4172888580192595,-9.016713044503787,-141.72888580192594,
mid_fee_0.23pct_day,low,perp_dynamic_lp,-1.547563043363944,-6.330714962246637,-154.75630433639438,
mid_fee_0.23pct_day,low,plain_lp,-1.1151480406041854,-12.451309829726064,-111.51480406041854,
mid_fee_0.23pct_day,medium,protocol_lp,-1.4130438870211903,-9.972083432389184,-141.30438870211904,0.0001321289972261
mid_fee_0.23pct_day,medium,perp_fixed_lp,-1.4172888580192595,-9.016713044503787,-141.72888580192594,
mid_fee_0.23pct_day,medium,perp_dynamic_lp,-1.547563043363944,-6.330714962246637,-154.75630433639438,
mid_fee_0.23pct_day,medium,plain_lp,-1.1151480406041854,-12.451309829726064,-111.51480406041854,
mid_fee_0.23pct_day,high,protocol_lp,-1.5080421515722329,-10.18122554713358,-150.8042151572233,-1.09409945768013e-05
mid_fee_0.23pct_day,high,perp_fixed_lp,-1.4172888580192595,-9.016713044503787,-141.72888580192594,
mid_fee_0.23pct_day,high,perp_dynamic_lp,-1.547563043363944,-6.330714962246637,-154.75630433639438,
mid_fee_0.23pct_day,high,plain_lp,-1.1151480406041854,-12.451309829726064,-111.51480406041854,
high_fee_0.35pct_day,low,protocol_lp,-0.7711385572599598,-8.996362200667383,-77.11385572599599,0.000229877505585
high_fee_0.35pct_day,low,perp_fixed_lp,-0.8750647244976758,-9.179218880540404,-87.50647244976759,
high_fee_0.35pct_day,low,perp_dynamic_lp,-0.8195773989752788,-5.7437457227965405,-81.95773989752789,
high_fee_0.35pct_day,low,plain_lp,-0.6136306118677265,-12.838114544188448,-61.36306118677265,
high_fee_0.35pct_day,medium,protocol_lp,-0.8498270972717612,-9.429135256956608,-84.98270972717611,-6.745742155494559e-05
high_fee_0.35pct_day,medium,perp_fixed_lp,-0.8750647244976758,-9.179218880540404,-87.50647244976759,
high_fee_0.35pct_day,medium,perp_dynamic_lp,-0.8195773989752788,-5.7437457227965405,-81.95773989752789,
high_fee_0.35pct_day,medium,plain_lp,-0.6136306118677265,-12.838114544188448,-61.36306118677265,
high_fee_0.35pct_day,high,protocol_lp,-0.9212654638724368,-9.652479452656342,-92.12654638724368,1.8089450521180945e-05
high_fee_0.35pct_day,high,perp_fixed_lp,-0.8750647244976758,-9.179218880540404,-87.50647244976759,
high_fee_0.35pct_day,high,perp_dynamic_lp,-0.8195773989752788,-5.7437457227965405,-81.95773989752789,
high_fee_0.35pct_day,high,plain_lp,-0.6136306118677265,-12.838114544188448,-61.36306118677265,
high_fee_0.42pct_day,low,protocol_lp,-0.3422764640974217,-8.45485945642434,-34.22764640974217,0.0003449335020828
high_fee_0.42pct_day,low,perp_fixed_lp,-0.47308701359652755,-9.167526605326588,-47.30870135965275,
high_fee_0.42pct_day,low,perp_dynamic_lp,-0.5183859786341222,-5.359599299622678,-51.83859786341222,
high_fee_0.42pct_day,low,plain_lp,-0.21521858132644264,-12.892019335625015,-21.52185813264426,
high_fee_0.42pct_day,medium,protocol_lp,-0.4803298098304905,-9.39370344453319,-48.03298098304905,0.0002167882404646
high_fee_0.42pct_day,medium,perp_fixed_lp,-0.47308701359652755,-9.167526605326588,-47.30870135965275,
high_fee_0.42pct_day,medium,perp_dynamic_lp,-0.5183859786341222,-5.359599299622678,-51.83859786341222,
high_fee_0.42pct_day,medium,plain_lp,-0.21521858132644264,-12.892019335625015,-21.52185813264426,
high_fee_0.42pct_day,high,protocol_lp,-0.5317244595993842,-8.872015835180779,-53.17244595993842,0.0001085825451358
high_fee_0.42pct_day,high,perp_fixed_lp,-0.47308701359652755,-9.167526605326588,-47.30870135965275,
high_fee_0.42pct_day,high,perp_dynamic_lp,-0.5183859786341222,-5.359599299622678,-51.83859786341222,
high_fee_0.42pct_day,high,plain_lp,-0.21521858132644264,-12.892019335625015,-21.52185813264426,
