yield_split,fee_day,lp_mean_%,rt_mean_%,joint_viable
0.05,0.0012,-2.463574592858994,0.0016836506526608712,False
0.05,0.0018,-2.071037703322537,0.0017519128919119891,False
0.05,0.0024,-1.7773600017152102,0.0015617483322053238,False
0.05,0.003,-1.4913698611320945,0.0019489228786952232,False
0.05,0.0036,-0.9843631452838857,0.0024254144309719646,False
0.05,0.0042,-0.8725602587026408,0.0018226225465823279,False
0.05,0.0048,-0.5730727211150698,0.0020539894957686544,False
0.15,0.0012,-2.2559599889577195,0.0024546719625714586,False
0.15,0.0018,-2.1034633137866425,0.002048876077822703,False
0.15,0.0024,-1.708600544143905,0.0018476122747282154,False
0.15,0.003,-1.4139928446964947,0.0018211978339860407,False
0.15,0.0036,-1.1801130515961211,0.0018216166462502595,False
0.15,0.0042,-0.8272701159755982,0.0021708709136734564,False
0.15,0.0048,-0.46026536500126514,0.0016143696807209174,False
0.2,0.0012,-2.345438349965516,0.0018996747079947267,False
0.2,0.0018,-2.0828777316385594,0.0018310990159684532,False
0.2,0.0024,-1.6853029696006783,0.001966108259729438,False
0.2,0.003,-1.390076150318816,0.0021863351188328617,False
0.2,0.0036,-1.3252541411646226,0.0016936328275063907,False
0.2,0.0042,-0.817959779481651,0.001967689074826199,False
0.2,0.0048,-0.6384393154852362,0.0016605684050766932,False
0.25,0.0012,-2.285630665339234,0.0019211873111566217,False
0.25,0.0018,-1.9419414523911451,0.0018406038847735462,False
0.25,0.0024,-1.5903249985483412,0.0025117957074181504,False
0.25,0.003,-1.47550594472155,0.0018980387587731469,False
0.25,0.0036,-1.0208803702348181,0.0024951464285052076,False
0.25,0.0042,-0.629261808289928,0.001966087479023413,False
0.25,0.0048,-0.5129340394790384,0.0020811105493718026,False
0.4,0.0012,-2.2685853758927133,0.0020168836381527274,False
0.4,0.0018,-2.0533608290125938,0.001949627505402009,False
0.4,0.0024,-1.7980411283006048,0.0019086053615353933,False
0.4,0.003,-1.3243058266217291,0.0020077415646369483,False
0.4,0.0036,-1.100554025111029,0.0014822418216846529,False
0.4,0.0042,-0.89062599642965,0.001744061531121827,False
0.4,0.0048,-0.5308941361858645,0.0017333943355494468,False
