alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,score,lp_mean_%,rt_mean_%,rt_p5_%,m_amm_mean,strict_feasible,robust_feasible
0.1,0.4,0.2,0.1,0.15,0.6,0.8945013908053618,1.3930295534822126,0.007112860671932644,-0.017658988707924744,0.75,True,True
0.1,0.4,0.2,0.2,0.05,0.7,0.744589555311854,1.25379416229414,0.004561090745492238,-0.03669478969219154,0.75,True,True
0.1,0.3,0.2,0.2,0.05,0.7,0.7128715619643042,1.2165264497882622,0.008387694636673855,-0.034300303469916436,0.75,True,True
0.1,0.3,0.1,0.2,0.1,0.8,0.6954127321856305,1.2021845362590358,0.010906562493918486,-0.049649197665268596,0.75,True,True
0.1,0.2,0.2,0.2,0.15,0.7,0.6654315783305325,1.167811035029909,0.008219201763690634,-0.030606247039512972,0.75,True,True
0.1,0.3,0.3,0.2,0.05,0.7,0.6540797825061591,1.164883502418149,0.005103483390488969,-0.04231974995144169,0.75,True,True
0.1,0.4,0.3,0.2,0.05,0.7,0.653433206434872,1.1577486636553387,0.00464724520757614,-0.024730378673895277,0.75,True,True
0.1,0.4,0.2,0.2,0.05,0.8,0.6282953653865266,1.1280887268626703,0.005418465014863835,-0.015738798734950307,0.75,True,True
0.1,0.3,0.1,0.2,0.05,0.8,0.563277127267815,1.0686067139511843,0.009091405508716519,-0.040598183234573336,0.75,True,True
0.1,0.3,0.2,0.2,0.1,0.8,0.5435250925840114,1.0535538280149654,0.00468587825153955,-0.03912947333200349,0.75,True,True
0.1,0.2,0.2,0.2,0.1,0.8,0.5313400298106505,1.039545799214239,0.0021407388847675176,-0.026936640163273823,0.75,True,True
0.1,0.4,0.3,0.2,0.05,0.8,0.5270498370464982,1.0336209869739446,0.0043604168082435075,-0.029509125243346708,0.75,True,True
0.1,0.2,0.1,0.1,0.05,0.6,0.5208097380141918,0.7706631681424291,0.0041280780613939215,-0.02039053254565904,0.8006698178432707,True,True
0.1,0.4,0.1,0.2,0.15,0.6,0.48609210453601825,0.9952490136849613,0.005215193549654841,-0.038537853521322156,0.75,True,True
0.1,0.4,0.1,0.1,0.15,0.6,0.485232946025697,0.7334072948023758,0.009205396214588728,-0.03634787629306443,0.8010636652566081,True,True
0.1,0.4,0.1,0.1,0.15,0.8,0.47591670116660645,0.7158647200962729,0.014895352981867933,-0.03175498317324879,0.8009759101522783,True,True
0.1,0.4,0.3,0.2,0.15,0.8,0.47407941719144786,0.9772993956731834,0.004112705470242431,-0.020388062615065917,0.75,True,True
0.2,0.2,0.3,0.2,0.15,0.6,0.42750175285584746,0.9222463808923612,0.00893421524163203,-0.013664215816180299,0.75,True,True
0.1,0.2,0.2,0.2,0.1,0.7,0.4256596284996934,0.9275232130917284,0.008064627557105606,-0.028852844151404197,0.75,True,True
0.2,0.3,0.3,0.2,0.15,0.6,0.4117581588450555,0.9035767378285332,0.008907807700632469,-0.006269870560591419,0.75,True,True
0.1,0.2,0.2,0.1,0.05,0.8,0.40592559967503317,0.9052265583164367,0.004976685719054141,-0.013182453760671389,0.75,True,True
0.1,0.4,0.1,0.2,0.05,0.7,0.40316881467281496,0.9145990286844232,0.004753223549751781,-0.04283520567827591,0.75,True,True
0.1,0.4,0.2,0.2,0.1,0.7,0.40161292748085387,0.899350618788402,0.006220858824901127,-0.01300680474357362,0.75,True,True
0.1,0.4,0.2,0.2,0.1,0.6,0.39286304921586734,0.9006597740325597,0.0016137881927029897,-0.024333176619839723,0.75,True,True
0.1,0.3,0.3,0.1,0.15,0.7,0.384753033233198,0.8892003755765281,0.0021352235480504404,-0.017524026502476454,0.75,True,True
0.1,0.4,0.1,0.2,0.1,0.6,0.3558048454546715,0.8562947720683856,0.003957526465176847,-0.0130973959298156,0.75,True,True
0.1,0.2,0.3,0.1,0.15,0.6,0.34815462364557626,0.8464662653769519,0.007175525014442589,-0.017305679371766722,0.75,True,True
0.1,0.4,0.3,0.1,0.05,0.6,0.33493358380392446,0.8384136650235479,0.003565284054707147,-0.019396055213180125,0.75,True,True
0.1,0.2,0.2,0.1,0.15,0.6,0.3236770424553943,0.8265087861757772,0.0027368072133962433,-0.01528978094114585,0.75,True,True
0.1,0.4,0.1,0.1,0.1,0.6,0.3168105370156049,0.5628487091161084,0.006385717568813735,-0.018516828945968355,0.8007411396790615,True,True
0.2,0.4,0.2,0.2,0.15,0.6,0.3105070800312092,0.8041071219512773,0.010292833858785145,-0.014878606376525874,0.75,True,True
