alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,lp_mean_%,lp_p5_%,rt_mean_%,rt_p5_%,breakeven_bps_per_week,joint_lp_rt_viable,dom_lp_mean_vs_both,dom_lp_p5_vs_both,dom_breakeven_vs_both,dominates_both_strategies,joint_and_dominant
0.1,0.4,0.2,0.1,0.15,0.6,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.1,0.2,0.15,0.6,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.3,0.2,0.15,0.8,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.2,0.2,0.15,0.6,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.2,0.1,0.15,0.7,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.3,0.1,0.15,0.8,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.3,0.2,0.15,0.6,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.2,0.2,0.15,0.8,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.3,0.1,0.15,0.6,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.2,0.1,0.15,0.8,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
0.1,0.4,0.3,0.1,0.15,0.7,0.830350348741094,-4.90721576197259,-0.0007501480848971483,-0.017160807621331958,68.15895877367733,False,True,False,True,False,False
