sigma,ivRvRatio,carryBpsPerDay,feeRatePerDay,vPosition_usd,capDown_usd,fvSwap_usd,mVol,feeDiscount_usd,premium_usd,wedgeBpsPerDay
0.400,1.000,0,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,0,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,0,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,5,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,5,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,5,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,10,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,10,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,10,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,15,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,15,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,15,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,20,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,20,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,20,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,0,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,0,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,0,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,5,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,5,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,5,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,10,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,10,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
